window_id,start_index,end_index,start_time,end_time,n_rows,contiguous,valid_fraction
30,300,350,2022-08-12 16:05:01,2022-08-12 16:05:50,50,1,1.0
31,310,360,2022-08-12 16:05:11,2022-08-12 16:06:00,50,1,1.0
32,320,370,2022-08-12 16:05:21,2022-08-12 16:06:10,50,1,1.0
33,330,380,2022-08-12 16:05:31,2022-08-12 16:06:20,50,1,1.0
34,340,390,2022-08-12 16:05:41,2022-08-12 16:06:30,50,1,1.0
35,350,400,2022-08-12 16:05:51,2022-08-12 16:06:40,50,1,1.0
36,360,410,2022-08-12 16:06:01,2022-08-12 16:06:50,50,1,1.0
37,370,420,2022-08-12 16:06:11,2022-08-12 16:07:00,50,1,1.0
38,380,430,2022-08-12 16:06:21,2022-08-12 16:07:10,50,1,1.0
39,390,440,2022-08-12 16:06:31,2022-08-12 16:07:20,50,1,1.0
40,400,450,2022-08-12 16:06:41,2022-08-12 16:07:30,50,1,1.0
41,410,460,2022-08-12 16:06:51,2022-08-12 16:07:40,50,1,1.0
42,420,470,2022-08-12 16:07:01,2022-08-12 16:07:50,50,1,1.0
43,430,480,2022-08-12 16:07:11,2022-08-12 16:08:00,50,1,1.0
44,440,490,2022-08-12 16:07:21,2022-08-12 16:08:10,50,1,1.0
45,450,500,2022-08-12 16:07:31,2022-08-12 16:08:20,50,1,1.0
46,460,510,2022-08-12 16:07:41,2022-08-12 16:08:30,50,1,1.0
47,470,520,2022-08-12 16:07:51,2022-08-12 16:08:40,50,1,1.0
48,480,530,2022-08-12 16:08:01,2022-08-12 16:08:50,50,1,1.0
49,490,540,2022-08-12 16:08:11,2022-08-12 16:09:00,50,1,1.0
50,500,550,2022-08-12 16:08:21,2022-08-12 16:09:10,50,1,1.0
51,510,560,2022-08-12 16:08:31,2022-08-12 16:09:20,50,1,1.0
52,520,570,2022-08-12 16:08:41,2022-08-12 16:09:30,50,1,1.0
53,530,580,2022-08-12 16:08:51,2022-08-12 16:09:40,50,1,1.0
54,540,590,2022-08-12 16:09:01,2022-08-12 16:09:50,50,1,1.0
55,550,600,2022-08-12 16:09:11,2022-08-12 16:10:00,50,1,1.0
56,560,610,2022-08-12 16:09:21,2022-08-12 16:10:10,50,1,1.0
57,570,620,2022-08-12 16:09:31,2022-08-12 16:10:20,50,1,1.0
58,580,630,2022-08-12 16:09:41,2022-08-12 16:10:30,50,1,1.0
59,590,640,2022-08-12 16:09:51,2022-08-12 16:10:40,50,1,1.0
60,600,650,2022-08-12 16:10:01,2022-08-12 16:10:50,50,1,1.0
61,610,660,2022-08-12 16:10:11,2022-08-12 16:11:00,50,1,1.0
62,620,670,2022-08-12 16:10:21,2022-08-12 16:11:10,50,1,1.0
63,630,680,2022-08-12 16:10:31,2022-08-12 16:11:20,50,1,1.0
64,640,690,2022-08-12 16:10:41,2022-08-12 16:11:30,50,1,1.0
65,650,700,2022-08-12 16:10:51,2022-08-12 16:11:40,50,1,1.0
66,660,710,2022-08-12 16:11:01,2022-08-12 16:11:50,50,1,1.0
67,670,720,2022-08-12 16:11:11,2022-08-12 16:12:00,50,1,1.0
68,680,730,2022-08-12 16:11:21,2022-08-12 16:12:10,50,1,1.0
69,690,740,2022-08-12 16:11:31,2022-08-12 16:12:20,50,1,1.0
70,700,750,2022-08-12 16:11:41,2022-08-12 16:12:30,50,1,1.0
71,710,760,2022-08-12 16:11:51,2022-08-12 16:12:40,50,1,1.0
72,720,770,2022-08-12 16:12:01,2022-08-12 16:12:50,50,1,1.0
73,730,780,2022-08-12 16:12:11,2022-08-12 16:13:00,50,1,1.0
74,740,790,2022-08-12 16:12:21,2022-08-12 16:13:10,50,1,1.0
75,750,800,2022-08-12 16:12:31,2022-08-12 16:13:20,50,1,1.0
76,760,810,2022-08-12 16:12:41,2022-08-12 16:13:30,50,1,1.0
77,770,820,2022-08-12 16:12:51,2022-08-12 16:13:40,50,1,1.0
78,780,830,2022-08-12 16:13:01,2022-08-12 16:13:50,50,1,1.0
79,790,840,2022-08-12 16:13:11,2022-08-12 16:14:00,50,1,1.0
80,800,850,2022-08-12 16:13:21,2022-08-12 16:14:10,50,1,1.0
81,810,860,2022-08-12 16:13:31,2022-08-12 16:14:20,50,1,1.0
82,820,870,2022-08-12 16:13:41,2022-08-12 16:14:30,50,1,1.0
83,830,880,2022-08-12 16:13:51,2022-08-12 16:14:40,50,1,1.0
84,840,890,2022-08-12 16:14:01,2022-08-12 16:14:50,50,1,1.0
85,850,900,2022-08-12 16:14:11,2022-08-12 16:15:00,50,1,1.0
86,860,910,2022-08-12 16:14:21,2022-08-12 16:15:10,50,1,1.0
87,870,920,2022-08-12 16:14:31,2022-08-12 16:15:20,50,1,1.0
88,880,930,2022-08-12 16:14:41,2022-08-12 16:15:30,50,1,1.0
89,890,940,2022-08-12 16:14:51,2022-08-12 16:15:40,50,1,1.0
90,900,950,2022-08-12 16:15:01,2022-08-12 16:15:50,50,1,1.0
91,910,960,2022-08-12 16:15:11,2022-08-12 16:16:00,50,1,1.0
92,920,970,2022-08-12 16:15:21,2022-08-12 16:16:10,50,1,1.0
93,930,980,2022-08-12 16:15:31,2022-08-12 16:16:20,50,1,1.0
94,940,990,2022-08-12 16:15:41,2022-08-12 16:16:30,50,1,1.0
95,950,1000,2022-08-12 16:15:51,2022-08-12 16:16:40,50,1,1.0
96,960,1010,2022-08-12 16:16:01,2022-08-12 16:16:50,50,1,1.0
97,970,1020,2022-08-12 16:16:11,2022-08-12 16:17:00,50,1,1.0
98,980,1030,2022-08-12 16:16:21,2022-08-12 16:17:10,50,1,1.0
99,990,1040,2022-08-12 16:16:31,2022-08-12 16:17:20,50,1,1.0
100,1000,1050,2022-08-12 16:16:41,2022-08-12 16:17:30,50,1,1.0
101,1010,1060,2022-08-12 16:16:51,2022-08-12 16:17:40,50,1,1.0
102,1020,1070,2022-08-12 16:17:01,2022-08-12 16:17:50,50,1,1.0
103,1030,1080,2022-08-12 16:17:11,2022-08-12 16:18:00,50,1,1.0
104,1040,1090,2022-08-12 16:17:21,2022-08-12 16:18:10,50,1,1.0
105,1050,1100,2022-08-12 16:17:31,2022-08-12 16:18:20,50,1,1.0
106,1060,1110,2022-08-12 16:17:41,2022-08-12 16:18:30,50,1,1.0
107,1070,1120,2022-08-12 16:17:51,2022-08-12 16:18:40,50,1,1.0
108,1080,1130,2022-08-12 16:18:01,2022-08-12 16:18:50,50,1,1.0
109,1090,1140,2022-08-12 16:18:11,2022-08-12 16:19:00,50,1,1.0
110,1100,1150,2022-08-12 16:18:21,2022-08-12 16:19:10,50,1,1.0
111,1110,1160,2022-08-12 16:18:31,2022-08-12 16:19:20,50,1,1.0
112,1120,1170,2022-08-12 16:18:41,2022-08-12 16:19:30,50,1,1.0
113,1130,1180,2022-08-12 16:18:51,2022-08-12 16:19:40,50,1,1.0
114,1140,1190,2022-08-12 16:19:01,2022-08-12 16:19:50,50,1,1.0
115,1150,1200,2022-08-12 16:19:11,2022-08-12 16:20:00,50,1,1.0
116,1160,1210,2022-08-12 16:19:21,2022-08-12 16:20:10,50,1,1.0
117,1170,1220,2022-08-12 16:19:31,2022-08-12 16:20:20,50,1,1.0
118,1180,1230,2022-08-12 16:19:41,2022-08-12 16:20:30,50,1,1.0
119,1190,1240,2022-08-12 16:19:51,2022-08-12 16:20:40,50,1,1.0
120,1200,1250,2022-08-12 16:20:01,2022-08-12 16:20:50,50,1,1.0
121,1210,1260,2022-08-12 16:20:11,2022-08-12 16:21:00,50,1,1.0
122,1220,1270,2022-08-12 16:20:21,2022-08-12 16:21:10,50,1,1.0
123,1230,1280,2022-08-12 16:20:31,2022-08-12 16:21:20,50,1,1.0
124,1240,1290,2022-08-12 16:20:41,2022-08-12 16:21:30,50,1,1.0
125,1250,1300,2022-08-12 16:20:51,2022-08-12 16:21:40,50,1,1.0
126,1260,1310,2022-08-12 16:21:01,2022-08-12 16:21:50,50,1,1.0
127,1270,1320,2022-08-12 16:21:11,2022-08-12 16:22:00,50,1,1.0
128,1280,1330,2022-08-12 16:21:21,2022-08-12 16:22:10,50,1,1.0
129,1290,1340,2022-08-12 16:21:31,2022-08-12 16:22:20,50,1,1.0
130,1300,1350,2022-08-12 16:21:41,2022-08-12 16:22:30,50,1,1.0
131,1310,1360,2022-08-12 16:21:51,2022-08-12 16:22:40,50,1,1.0
132,1320,1370,2022-08-12 16:22:01,2022-08-12 16:22:50,50,1,1.0
133,1330,1380,2022-08-12 16:22:11,2022-08-12 16:23:00,50,1,1.0
134,1340,1390,2022-08-12 16:22:21,2022-08-12 16:23:10,50,1,1.0
135,1350,1400,2022-08-12 16:22:31,2022-08-12 16:23:20,50,1,1.0
136,1360,1410,2022-08-12 16:22:41,2022-08-12 16:23:30,50,1,1.0
137,1370,1420,2022-08-12 16:22:51,2022-08-12 16:23:40,50,1,1.0
138,1380,1430,2022-08-12 16:23:01,2022-08-12 16:23:50,50,1,1.0
139,1390,1440,2022-08-12 16:23:11,2022-08-12 16:24:00,50,1,1.0
140,1400,1450,2022-08-12 16:23:21,2022-08-12 16:24:10,50,1,1.0
141,1410,1460,2022-08-12 16:23:31,2022-08-12 16:24:20,50,1,1.0
142,1420,1470,2022-08-12 16:23:41,2022-08-12 16:24:30,50,1,1.0
143,1430,1480,2022-08-12 16:23:51,2022-08-12 16:24:40,50,1,1.0
144,1440,1490,2022-08-12 16:24:01,2022-08-12 16:24:50,50,1,1.0
145,1450,1500,2022-08-12 16:24:11,2022-08-12 16:25:00,50,1,1.0
146,1460,1510,2022-08-12 16:24:21,2022-08-12 16:25:10,50,1,1.0
147,1470,1520,2022-08-12 16:24:31,2022-08-12 16:25:20,50,1,1.0
148,1480,1530,2022-08-12 16:24:41,2022-08-12 16:25:30,50,1,1.0
149,1490,1540,2022-08-12 16:24:51,2022-08-12 16:25:40,50,1,1.0
150,1500,1550,2022-08-12 16:25:01,2022-08-12 16:25:50,50,1,1.0
151,1510,1560,2022-08-12 16:25:11,2022-08-12 16:26:00,50,1,1.0
152,1520,1570,2022-08-12 16:25:21,2022-08-12 16:26:10,50,1,1.0
153,1530,1580,2022-08-12 16:25:31,2022-08-12 16:26:20,50,1,1.0
154,1540,1590,2022-08-12 16:25:41,2022-08-12 16:26:30,50,1,1.0
155,1550,1600,2022-08-12 16:25:51,2022-08-12 16:26:40,50,1,1.0
156,1560,1610,2022-08-12 16:26:01,2022-08-12 16:26:50,50,1,1.0
157,1570,1620,2022-08-12 16:26:11,2022-08-12 16:27:00,50,1,1.0
158,1580,1630,2022-08-12 16:26:21,2022-08-12 16:27:10,50,1,1.0
159,1590,1640,2022-08-12 16:26:31,2022-08-12 16:27:20,50,1,1.0
160,1600,1650,2022-08-12 16:26:41,2022-08-12 16:27:30,50,1,1.0
161,1610,1660,2022-08-12 16:26:51,2022-08-12 16:27:40,50,1,1.0
162,1620,1670,2022-08-12 16:27:01,2022-08-12 16:27:50,50,1,1.0
163,1630,1680,2022-08-12 16:27:11,2022-08-12 16:28:00,50,1,1.0
164,1640,1690,2022-08-12 16:27:21,2022-08-12 16:28:10,50,1,1.0
165,1650,1700,2022-08-12 16:27:31,2022-08-12 16:28:20,50,1,1.0
166,1660,1710,2022-08-12 16:27:41,2022-08-12 16:28:30,50,1,1.0
167,1670,1720,2022-08-12 16:27:51,2022-08-12 16:28:40,50,1,1.0
168,1680,1730,2022-08-12 16:28:01,2022-08-12 16:28:50,50,1,1.0
169,1690,1740,2022-08-12 16:28:11,2022-08-12 16:29:00,50,1,1.0
170,1700,1750,2022-08-12 16:28:21,2022-08-12 16:29:10,50,1,1.0
171,1710,1760,2022-08-12 16:28:31,2022-08-12 16:29:20,50,1,1.0
172,1720,1770,2022-08-12 16:28:41,2022-08-12 16:29:30,50,1,1.0
173,1730,1780,2022-08-12 16:28:51,2022-08-12 16:29:40,50,1,1.0
174,1740,1790,2022-08-12 16:29:01,2022-08-12 16:29:50,50,1,1.0
175,1750,1800,2022-08-12 16:29:11,2022-08-12 16:30:00,50,1,1.0
176,1760,1810,2022-08-12 16:29:21,2022-08-12 16:30:10,50,1,1.0
177,1770,1820,2022-08-12 16:29:31,2022-08-12 16:30:20,50,1,1.0
178,1780,1830,2022-08-12 16:29:41,2022-08-12 16:30:30,50,1,1.0
179,1790,1840,2022-08-12 16:29:51,2022-08-12 16:30:40,50,1,1.0
180,1800,1850,2022-08-12 16:30:01,2022-08-12 16:30:50,50,1,1.0
181,1810,1860,2022-08-12 16:30:11,2022-08-12 16:31:00,50,1,1.0
182,1820,1870,2022-08-12 16:30:21,2022-08-12 16:31:10,50,1,1.0
183,1830,1880,2022-08-12 16:30:31,2022-08-12 16:31:20,50,1,1.0
184,1840,1890,2022-08-12 16:30:41,2022-08-12 16:31:30,50,1,1.0
185,1850,1900,2022-08-12 16:30:51,2022-08-12 16:31:40,50,1,1.0
186,1860,1910,2022-08-12 16:31:01,2022-08-12 16:31:50,50,1,1.0
187,1870,1920,2022-08-12 16:31:11,2022-08-12 16:32:00,50,1,1.0
188,1880,1930,2022-08-12 16:31:21,2022-08-12 16:32:10,50,1,1.0
189,1890,1940,2022-08-12 16:31:31,2022-08-12 16:32:20,50,1,1.0
190,1900,1950,2022-08-12 16:31:41,2022-08-12 16:32:30,50,1,1.0
191,1910,1960,2022-08-12 16:31:51,2022-08-12 16:32:40,50,1,1.0
192,1920,1970,2022-08-12 16:32:01,2022-08-12 16:32:50,50,1,1.0
193,1930,1980,2022-08-12 16:32:11,2022-08-12 16:33:00,50,1,1.0
194,1940,1990,2022-08-12 16:32:21,2022-08-12 16:33:10,50,1,1.0
195,1950,2000,2022-08-12 16:32:31,2022-08-12 16:33:20,50,1,1.0
196,1960,2010,2022-08-12 16:32:41,2022-08-12 16:33:30,50,1,1.0
197,1970,2020,2022-08-12 16:32:51,2022-08-12 16:33:40,50,1,1.0
198,1980,2030,2022-08-12 16:33:01,2022-08-12 16:33:50,50,1,1.0
199,1990,2040,2022-08-12 16:33:11,2022-08-12 16:34:00,50,1,1.0
200,2000,2050,2022-08-12 16:33:21,2022-08-12 16:34:10,50,1,1.0
201,2010,2060,2022-08-12 16:33:31,2022-08-12 16:34:20,50,1,1.0
202,2020,2070,2022-08-12 16:33:41,2022-08-12 16:34:30,50,1,1.0
203,2030,2080,2022-08-12 16:33:51,2022-08-12 16:34:40,50,1,1.0
204,2040,2090,2022-08-12 16:34:01,2022-08-12 16:34:50,50,1,1.0
205,2050,2100,2022-08-12 16:34:11,2022-08-12 16:35:00,50,1,1.0
206,2060,2110,2022-08-12 16:34:21,2022-08-12 16:35:10,50,1,1.0
207,2070,2120,2022-08-12 16:34:31,2022-08-12 16:35:20,50,1,1.0
208,2080,2130,2022-08-12 16:34:41,2022-08-12 16:35:30,50,1,1.0
209,2090,2140,2022-08-12 16:34:51,2022-08-12 16:35:40,50,1,1.0
210,2100,2150,2022-08-12 16:35:01,2022-08-12 16:35:50,50,1,1.0
211,2110,2160,2022-08-12 16:35:11,2022-08-12 16:36:00,50,1,1.0
212,2120,2170,2022-08-12 16:35:21,2022-08-12 16:36:10,50,1,1.0
213,2130,2180,2022-08-12 16:35:31,2022-08-12 16:36:20,50,1,1.0
214,2140,2190,2022-08-12 16:35:41,2022-08-12 16:36:30,50,1,1.0
215,2150,2200,2022-08-12 16:35:51,2022-08-12 16:36:40,50,1,1.0
216,2160,2210,2022-08-12 16:36:01,2022-08-12 16:36:50,50,1,1.0
217,2170,2220,2022-08-12 16:36:11,2022-08-12 16:37:00,50,1,1.0
218,2180,2230,2022-08-12 16:36:21,2022-08-12 16:37:10,50,1,1.0
219,2190,2240,2022-08-12 16:36:31,2022-08-12 16:37:20,50,1,1.0
220,2200,2250,2022-08-12 16:36:41,2022-08-12 16:37:30,50,1,1.0
221,2210,2260,2022-08-12 16:36:51,2022-08-12 16:37:40,50,1,1.0
222,2220,2270,2022-08-12 16:37:01,2022-08-12 16:37:50,50,1,1.0
223,2230,2280,2022-08-12 16:37:11,2022-08-12 16:38:00,50,1,1.0
224,2240,2290,2022-08-12 16:37:21,2022-08-12 16:38:10,50,1,1.0
225,2250,2300,2022-08-12 16:37:31,2022-08-12 16:38:20,50,1,1.0
226,2260,2310,2022-08-12 16:37:41,2022-08-12 16:38:30,50,1,1.0
227,2270,2320,2022-08-12 16:37:51,2022-08-12 16:38:40,50,1,1.0
228,2280,2330,2022-08-12 16:38:01,2022-08-12 16:38:50,50,1,1.0
229,2290,2340,2022-08-12 16:38:11,2022-08-12 16:39:00,50,1,1.0
230,2300,2350,2022-08-12 16:38:21,2022-08-12 16:39:10,50,1,1.0
231,2310,2360,2022-08-12 16:38:31,2022-08-12 16:39:20,50,1,1.0
232,2320,2370,2022-08-12 16:38:41,2022-08-12 16:39:30,50,1,1.0
233,2330,2380,2022-08-12 16:38:51,2022-08-12 16:39:40,50,1,1.0
234,2340,2390,2022-08-12 16:39:01,2022-08-12 16:39:50,50,1,1.0
235,2350,2400,2022-08-12 16:39:11,2022-08-12 16:40:00,50,1,1.0
236,2360,2410,2022-08-12 16:39:21,2022-08-12 16:40:10,50,1,1.0
237,2370,2420,2022-08-12 16:39:31,2022-08-12 16:40:20,50,1,1.0
238,2380,2430,2022-08-12 16:39:41,2022-08-12 16:40:30,50,1,1.0
239,2390,2440,2022-08-12 16:39:51,2022-08-12 16:40:40,50,1,1.0
240,2400,2450,2022-08-12 16:40:01,2022-08-12 16:40:50,50,1,1.0
241,2410,2460,2022-08-12 16:40:11,2022-08-12 16:41:00,50,1,1.0
242,2420,2470,2022-08-12 16:40:21,2022-08-12 16:41:10,50,1,1.0
243,2430,2480,2022-08-12 16:40:31,2022-08-12 16:41:20,50,1,1.0
244,2440,2490,2022-08-12 16:40:41,2022-08-12 16:41:30,50,1,1.0
245,2450,2500,2022-08-12 16:40:51,2022-08-12 16:41:40,50,1,1.0
246,2460,2510,2022-08-12 16:41:01,2022-08-12 16:41:50,50,1,1.0
247,2470,2520,2022-08-12 16:41:11,2022-08-12 16:42:00,50,1,1.0
248,2480,2530,2022-08-12 16:41:21,2022-08-12 16:42:10,50,1,1.0
249,2490,2540,2022-08-12 16:41:31,2022-08-12 16:42:20,50,1,1.0
250,2500,2550,2022-08-12 16:41:41,2022-08-12 16:42:30,50,1,1.0
251,2510,2560,2022-08-12 16:41:51,2022-08-12 16:42:40,50,1,1.0
252,2520,2570,2022-08-12 16:42:01,2022-08-12 16:42:50,50,1,1.0
253,2530,2580,2022-08-12 16:42:11,2022-08-12 16:43:00,50,1,1.0
254,2540,2590,2022-08-12 16:42:21,2022-08-12 16:43:10,50,1,1.0
255,2550,2600,2022-08-12 16:42:31,2022-08-12 16:43:20,50,1,1.0
256,2560,2610,2022-08-12 16:42:41,2022-08-12 16:43:30,50,1,1.0
257,2570,2620,2022-08-12 16:42:51,2022-08-12 16:43:40,50,1,1.0
258,2580,2630,2022-08-12 16:43:01,2022-08-12 16:43:50,50,1,1.0
259,2590,2640,2022-08-12 16:43:11,2022-08-12 16:44:00,50,1,1.0
260,2600,2650,2022-08-12 16:43:21,2022-08-12 16:44:10,50,1,1.0
261,2610,2660,2022-08-12 16:43:31,2022-08-12 16:44:20,50,1,1.0
262,2620,2670,2022-08-12 16:43:41,2022-08-12 16:44:30,50,1,1.0
263,2630,2680,2022-08-12 16:43:51,2022-08-12 16:44:40,50,1,1.0
264,2640,2690,2022-08-12 16:44:01,2022-08-12 16:44:50,50,1,1.0
265,2650,2700,2022-08-12 16:44:11,2022-08-12 16:45:00,50,1,1.0
266,2660,2710,2022-08-12 16:44:21,2022-08-12 16:45:10,50,1,1.0
267,2670,2720,2022-08-12 16:44:31,2022-08-12 16:45:20,50,1,1.0
268,2680,2730,2022-08-12 16:44:41,2022-08-12 16:45:30,50,1,1.0
269,2690,2740,2022-08-12 16:44:51,2022-08-12 16:45:40,50,1,1.0
270,2700,2750,2022-08-12 16:45:01,2022-08-12 16:45:50,50,1,1.0
271,2710,2760,2022-08-12 16:45:11,2022-08-12 16:46:00,50,1,1.0
272,2720,2770,2022-08-12 16:45:21,2022-08-12 16:46:10,50,1,1.0
273,2730,2780,2022-08-12 16:45:31,2022-08-12 16:46:20,50,1,1.0
274,2740,2790,2022-08-12 16:45:41,2022-08-12 16:46:30,50,1,1.0
275,2750,2800,2022-08-12 16:45:51,2022-08-12 16:46:40,50,1,1.0
276,2760,2810,2022-08-12 16:46:01,2022-08-12 16:46:50,50,1,1.0
277,2770,2820,2022-08-12 16:46:11,2022-08-12 16:47:00,50,1,1.0
278,2780,2830,2022-08-12 16:46:21,2022-08-12 16:47:10,50,1,1.0
279,2790,2840,2022-08-12 16:46:31,2022-08-12 16:47:20,50,1,1.0
280,2800,2850,2022-08-12 16:46:41,2022-08-12 16:47:30,50,1,1.0
281,2810,2860,2022-08-12 16:46:51,2022-08-12 16:47:40,50,1,1.0
282,2820,2870,2022-08-12 16:47:01,2022-08-12 16:47:50,50,1,1.0
283,2830,2880,2022-08-12 16:47:11,2022-08-12 16:48:00,50,1,1.0
284,2840,2890,2022-08-12 16:47:21,2022-08-12 16:48:10,50,1,1.0
285,2850,2900,2022-08-12 16:47:31,2022-08-12 16:48:20,50,1,1.0
286,2860,2910,2022-08-12 16:47:41,2022-08-12 16:48:30,50,1,1.0
287,2870,2920,2022-08-12 16:47:51,2022-08-12 16:48:40,50,1,1.0
288,2880,2930,2022-08-12 16:48:01,2022-08-12 16:48:50,50,1,1.0
289,2890,2940,2022-08-12 16:48:11,2022-08-12 16:49:00,50,1,1.0
290,2900,2950,2022-08-12 16:48:21,2022-08-12 16:49:10,50,1,1.0
291,2910,2960,2022-08-12 16:48:31,2022-08-12 16:49:20,50,1,1.0
292,2920,2970,2022-08-12 16:48:41,2022-08-12 16:49:30,50,1,1.0
293,2930,2980,2022-08-12 16:48:51,2022-08-12 16:49:40,50,1,1.0
294,2940,2990,2022-08-12 16:49:01,2022-08-12 16:49:50,50,1,1.0
295,2950,3000,2022-08-12 16:49:11,2022-08-12 16:50:00,50,1,1.0
296,2960,3010,2022-08-12 16:49:21,2022-08-12 16:50:10,50,1,1.0
297,2970,3020,2022-08-12 16:49:31,2022-08-12 16:50:20,50,1,1.0
298,2980,3030,2022-08-12 16:49:41,2022-08-12 16:50:30,50,1,1.0
299,2990,3040,2022-08-12 16:49:51,2022-08-12 16:50:40,50,1,1.0
300,3000,3050,2022-08-12 16:50:01,2022-08-12 16:50:50,50,1,1.0
301,3010,3060,2022-08-12 16:50:11,2022-08-12 16:51:00,50,1,1.0
302,3020,3070,2022-08-12 16:50:21,2022-08-12 16:51:10,50,1,1.0
303,3030,3080,2022-08-12 16:50:31,2022-08-12 16:51:20,50,1,1.0
304,3040,3090,2022-08-12 16:50:41,2022-08-12 16:51:30,50,1,1.0
305,3050,3100,2022-08-12 16:50:51,2022-08-12 16:51:40,50,1,1.0
306,3060,3110,2022-08-12 16:51:01,2022-08-12 16:51:50,50,1,1.0
307,3070,3120,2022-08-12 16:51:11,2022-08-12 16:52:00,50,1,1.0
308,3080,3130,2022-08-12 16:51:21,2022-08-12 16:52:10,50,1,1.0
309,3090,3140,2022-08-12 16:51:31,2022-08-12 16:52:20,50,1,1.0
310,3100,3150,2022-08-12 16:51:41,2022-08-12 16:52:30,50,1,1.0
311,3110,3160,2022-08-12 16:51:51,2022-08-12 16:52:40,50,1,1.0
312,3120,3170,2022-08-12 16:52:01,2022-08-12 16:52:50,50,1,1.0
313,3130,3180,2022-08-12 16:52:11,2022-08-12 16:53:00,50,1,1.0
314,3140,3190,2022-08-12 16:52:21,2022-08-12 16:53:10,50,1,1.0
315,3150,3200,2022-08-12 16:52:31,2022-08-12 16:53:20,50,1,1.0
316,3160,3210,2022-08-12 16:52:41,2022-08-12 16:53:30,50,1,1.0
317,3170,3220,2022-08-12 16:52:51,2022-08-12 16:53:40,50,1,1.0
318,3180,3230,2022-08-12 16:53:01,2022-08-12 16:53:50,50,1,1.0
319,3190,3240,2022-08-12 16:53:11,2022-08-12 16:54:00,50,1,1.0
320,3200,3250,2022-08-12 16:53:21,2022-08-12 16:54:10,50,1,1.0
321,3210,3260,2022-08-12 16:53:31,2022-08-12 16:54:20,50,1,1.0
322,3220,3270,2022-08-12 16:53:41,2022-08-12 16:54:30,50,1,1.0
323,3230,3280,2022-08-12 16:53:51,2022-08-12 16:54:40,50,1,1.0
324,3240,3290,2022-08-12 16:54:01,2022-08-12 16:54:50,50,1,1.0
325,3250,3300,2022-08-12 16:54:11,2022-08-12 16:55:00,50,1,1.0
326,3260,3310,2022-08-12 16:54:21,2022-08-12 16:55:10,50,1,1.0
327,3270,3320,2022-08-12 16:54:31,2022-08-12 16:55:20,50,1,1.0
328,3280,3330,2022-08-12 16:54:41,2022-08-12 16:55:30,50,1,1.0
329,3290,3340,2022-08-12 16:54:51,2022-08-12 16:55:40,50,1,1.0
330,3300,3350,2022-08-12 16:55:01,2022-08-12 16:55:50,50,1,1.0
331,3310,3360,2022-08-12 16:55:11,2022-08-12 16:56:00,50,1,1.0
332,3320,3370,2022-08-12 16:55:21,2022-08-12 16:56:10,50,1,1.0
333,3330,3380,2022-08-12 16:55:31,2022-08-12 16:56:20,50,1,1.0
334,3340,3390,2022-08-12 16:55:41,2022-08-12 16:56:30,50,1,1.0
335,3350,3400,2022-08-12 16:55:51,2022-08-12 16:56:40,50,1,1.0
